Series_Title,Overview,Cleaned_Overview,Sentiment,Predicted_Sentiment
12 Years a Slave,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",antebellum united state solomon northup free black man upstate new york abducted sold slavery,positive,2
Rush,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,merciless rivalry formula one rival james hunt niki lauda,negative,0
Ford v Ferrari,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,american car designer carroll shelby driver ken mile battle corporate interference law physic build revolutionary race car ford order defeat ferrari hour le man,neutral,0
Spotlight,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",true story boston globe uncovered massive scandal child molestation coverup within local catholic archdiocese shaking entire catholic church core,positive,2
Song of the Sea,"Ben, a young Irish boy, and his little sister Saoirse, a girl who can turn into a seal, go on an adventure to free the fairies and save the spirit world.",ben young irish boy little sister saoirse girl turn seal go adventure free fairy save spirit world,positive,2
Kahaani,"A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him.",pregnant woman search missing husband take london kolkata everyone question denies ever met,positive,2
Zindagi Na Milegi Dobara,Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.,three friend decide turn fantasy vacation reality one friend get engaged,neutral,0
Prisoners,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",keller dover daughter friend go missing take matter hand police pursue multiple lead pressure mount,negative,0
Mad Max: Fury Road,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",postapocalyptic wasteland woman rebel tyrannical ruler search homeland aid group female prisoner psychotic worshiper drifter named max,negative,0
A Wednesday,A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday.,retiring police officer reminisces astounding day career case never filed continues haunt memory case man wednesday,positive,2
Gran Torino,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",disgruntled korean war veteran walt kowalski set reform neighbor thao lor hmong teenager tried steal kowalskis prized possession gran torino,neutral,1
Harry Potter and the Deathly Hallows: Part 2,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",harry ron hermione search voldemorts remaining horcruxes effort destroy dark lord final battle rage hogwarts,negative,0
Okuribito,A newly unemployed cellist takes a job preparing the dead for funerals.,newly unemployed cellist take job preparing dead funeral,negative,0
Hachi: A Dog's Tale,A college professor bonds with an abandoned dog he takes into his home.,college professor bond abandoned dog take home,neutral,2
Mary and Max,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.",tale friendship two unlikely pen pal mary lonely eightyearold girl living suburb melbourne max fortyfouryear old severely obese man living new york,negative,0
How to Train Your Dragon,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",hapless young viking aspires hunt dragon becomes unlikely friend young dragon learns may creature assumed,negative,2
Into the Wild,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.",graduating emory university top student athlete christopher mccandless abandon possession give entire saving account charity hitchhikes alaska live wilderness along way christopher encounter series character shape life,positive,2
No Country for Old Men,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,violence mayhem ensue hunter stumble upon drug deal gone wrong two million dollar cash near rio grande,negative,0
Lage Raho Munna Bhai,Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.,munna bhai embarks journey mahatma gandhi order fight corrupt property dealer,negative,0
Million Dollar Baby,A determined woman works with a hardened boxing trainer to become a professional.,determined woman work hardened boxing trainer become professional,positive,2
Hotel Rwanda,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",paul rusesabagina hotel manager house thousand tutsi refugee struggle hutu militia rwanda africa,neutral,0
Taegukgi hwinalrimyeo,"When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle.",two brother forced fight korean war elder decides take riskiest mission help shield younger battle,negative,0
Before Sunset,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",nine year jesse celine first met encounter french leg jesses book tour,positive,2
Munna Bhai M.B.B.S.,A gangster sets out to fulfill his father's dream of becoming a doctor.,gangster set fulfill father dream becoming doctor,positive,2
Salinui chueok,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",small korean province two detective struggle case multiple young woman found raped murdered unknown culprit,negative,2
Dil Chahta Hai,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension.",three inseparable childhood friend college nothing come fall love wildly different approach relationship creates tension,positive,2
Kill Bill: Vol. 1,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",awakening fouryear coma former assassin wreaks vengeance team assassin betrayed,negative,0
Finding Nemo,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",son captured great barrier reef taken sydney timid clownfish set journey bring home,positive,2
Catch Me If You Can,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",barely yet frank skilled forger passed doctor lawyer pilot fbi agent carl becomes obsessed tracking con man revel pursuit,positive,2
Amores perros,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",horrific car accident connects three story involving character dealing loss regret life harsh reality name love,negative,2
"Monsters, Inc.","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think.",order power city monster scare child scream however child toxic monster child get monster realize thing may think,neutral,1
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",Concurrent theatrical ending of the TV series Shin seiki evangerion (1995).,concurrent theatrical ending tv series shin seiki evangerion,neutral,1
Lagaan: Once Upon a Time in India,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,people small village victorian india stake future game cricket ruthless british ruler,negative,0
The Sixth Sense,A boy who communicates with spirits seeks the help of a disheartened child psychologist.,boy communicates spirit seek help disheartened child psychologist,neutral,1
La leggenda del pianista sull'oceano,"A baby boy, discovered in 1900 on an ocean liner, grows into a musical prodigy, never setting foot on land.",baby boy discovered ocean liner grows musical prodigy never setting foot land,neutral,1
The Truman Show,An insurance salesman discovers his whole life is actually a reality TV show.,insurance salesman discovers whole life actually reality tv show,positive,2
"Crna macka, beli macor",Matko and his son Zare live on the banks of the Danube river and get by through hustling and basically doing anything to make a living. In order to pay off a business debt Matko agrees to marry off Zare to the sister of a local gangster.,matko son zare live bank danube river get hustling basically anything make living order pay business debt matko agrees marry zare sister local gangster,positive,2
The Big Lebowski,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",jeff dude lebowski mistaken millionaire name seek restitution ruined rug enlists bowling buddy help get,neutral,1
Fa yeung nin wah,"Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",two neighbor woman man form strong bond suspect extramarital activity spouse however agree keep bond platonic commit similar wrong,negative,0
Trainspotting,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",renton deeply immersed edinburgh drug scene try clean get despite allure drug influence friend,positive,1
Fargo,Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,jerry lundegaards inept crime fall apart due henchmens bungling persistent police work quite pregnant marge gunderson,positive,2
Underground,"A group of Serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love and hate.",group serbian socialist prepares war surreal underground filled party tragedy love hate,positive,2
La haine,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,hour life three young men french suburb day violent riot,negative,0
Dilwale Dulhania Le Jayenge,"When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt.",raj meet simran europe isnt love first sight simran move india arranged marriage love make presence felt,positive,2
Before Sunrise,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",young man woman meet train europe wind spending one evening together vienna unfortunately know probably night together,negative,0
Trois couleurs: Rouge,A model discovers a retired judge is keen on invading people's privacy.,model discovers retired judge keen invading people privacy,neutral,2
Chung Hing sam lam,"Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal server at a late-night restaurant he frequents.",two melancholy hong kong policeman fall love one mysterious female underworld figure beautiful ethereal server latenight restaurant frequents,positive,2
Jurassic Park,A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,pragmatic paleontologist visiting almost complete theme park tasked protecting couple kid power failure cause park cloned dinosaur run loose,negative,0
In the Name of the Father,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,man coerced confession ira bombing commit result imprisonment father well english lawyer fight free,positive,2
Ba wang bie ji,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and will endure some of the most troublesome times in China's history.,two boy meet opera training school peking resulting friendship span nearly year endure troublesome time china history,positive,2
Dà hóng denglong gaogao guà,"A young woman becomes the fourth wife of a wealthy lord, and must learn to live with the strict rules and tensions within the household.",young woman becomes fourth wife wealthy lord must learn live strict rule tension within household,positive,2
Dead Poets Society,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,maverick teacher john keating us poetry embolden boarding school student new height selfexpression,positive,2
Stand by Me,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",death one friend writer recount childhood journey friend find body missing boy,negative,0
Platoon,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",chris taylor neophyte recruit vietnam find caught battle will two sergeant one good evil shrewd examination brutality war duality man conflict,negative,0
"Paris, Texas","Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",travis henderson aimless drifter missing four year wanders desert must reconnect society life family,negative,0
Kaze no tani no Naushika,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,warrior pacifist princess nausicaä desperately struggle prevent two warring nation destroying dying planet,negative,0
The Thing,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,research team antarctica hunted shapeshifting alien assumes appearance victim,negative,0
Pink Floyd: The Wall,A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.,confined troubled rock star descends madness midst physical social isolation everyone,negative,0
Fitzcarraldo,"The story of Brian Sweeney Fitzgerald, an extremely determined man who intends to build an opera house in the middle of a jungle.",story brian sweeney fitzgerald extremely determined man intends build opera house middle jungle,negative,0
Fanny och Alexander,"Two young Swedish children experience the many comedies and tragedies of their family, the Ekdahls.",two young swedish child experience many comedy tragedy family ekdahls,positive,2
Blade Runner,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",blade runner must pursue terminate four replicants stole ship space returned earth find creator,neutral,0
The Elephant Man,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",victorian surgeon rescue heavily disfigured man mistreated scraping living sideshow freak behind monstrous façade revealed person kindness intelligence sophistication,negative,0
Life of Brian,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.",born original christmas stable next door jesus christ brian nazareth spends life mistaken messiah,positive,1
The Deer Hunter,An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.,indepth examination way u vietnam war impact disrupts life people small industrial town pennsylvania,negative,0
Rocky,A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect.,smalltime boxer get supremely rare chance fight heavyweight champion bout strives go distance selfrespect,positive,2
Network,A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.,television network cynically exploit deranged former anchor raving revelation news medium profit,negative,0
Barry Lyndon,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,irish rogue win heart rich widow assumes dead husband aristocratic position thcentury england,positive,0
Zerkalo,"A dying man in his forties remembers his past. His childhood, his mother, the war, personal moments and things that tell of the recent history of all the Russian nation.",dying man forty remembers past childhood mother war personal moment thing tell recent history russian nation,negative,0
Chinatown,"A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder.",private detective hired expose adulterer find caught web deceit corruption murder,neutral,1
Paper Moon,"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership.",great depression con man find saddled young girl may may daughter two forge unlikely partnership,positive,2
Viskningar och rop,"When a woman dying of cancer in early twentieth-century Sweden is visited by her two sisters, long-repressed feelings between the siblings rise to the surface.",woman dying cancer early twentiethcentury sweden visited two sister longrepressed feeling sibling rise surface,positive,2
Solaris,A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.,psychologist sent station orbiting distant planet order discover caused crew go insane,negative,0
Le samouraï,After professional hitman Jef Costello is seen by witnesses his efforts to provide himself an alibi drive him further into a corner.,professional hitman jef costello seen witness effort provide alibi drive corner,positive,2
Cool Hand Luke,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.",laid back southern man sentenced two year rural prison refuse conform,neutral,0
Persona,A nurse is put in charge of a mute actress and finds that their personae are melding together.,nurse put charge mute actress find persona melding together,neutral,1
Andrei Rublev,"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.",life time affliction fifteenthcentury russian iconographer st andrei rublev,neutral,0
La battaglia di Algeri,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",fear violence escalate people algiers fight independence french government,neutral,2
El ángel exterminador,The guests at an upper-class dinner party find themselves unable to leave.,guest upperclass dinner party find unable leave,negative,0
What Ever Happened to Baby Jane?,A former child star torments her paraplegic sister in their decaying Hollywood mansion.,former child star torment paraplegic sister decaying hollywood mansion,neutral,1
Sanjuro,"A crafty samurai helps a young man and his fellow clansmen save his uncle, who has been framed and imprisoned by a corrupt superintendent.",crafty samurai help young man fellow clansman save uncle framed imprisoned corrupt superintendent,neutral,0
The Man Who Shot Liberty Valance,A senator returns to a western town for the funeral of an old friend and tells the story of his origins.,senator return western town funeral old friend tell story origin,positive,2
Ivanovo detstvo,"In WW2, twelve year old Soviet orphan Ivan Bondarev works for the Soviet army as a scout behind the German lines and strikes a friendship with three sympathetic Soviet officers.",ww twelve year old soviet orphan ivan bondarev work soviet army scout behind german line strike friendship three sympathetic soviet officer,positive,0
Jungfrukällan,"An innocent yet pampered young virgin and her family's pregnant and jealous servant set out to deliver candles to church, but only one returns from events that transpire in the woods along the way.",innocent yet pampered young virgin family pregnant jealous servant set deliver candle church one return event transpire wood along way,positive,2
Inherit the Wind,"Based on a real-life case in 1925, two great lawyers argue the case for and against a science teacher accused of the crime of teaching evolution.",based reallife case two great lawyer argue case science teacher accused crime teaching evolution,positive,2
Les quatre cents coups,"A young boy, left without attention, delves into a life of petty crime.",young boy left without attention delf life petty crime,positive,2
Ben-Hur,"After a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.",jewish prince betrayed sent slavery roman friend regains freedom come back revenge,neutral,1
Kakushi-toride no san-akunin,"Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines.",lured gold two greedy peasant unknowingly escort princess general across enemy line,positive,2
Le notti di Cabiria,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.,waifish prostitute wanders street rome looking true love find heartbreak,positive,2
Kumonosu-jô,"A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle.",warhardened general egged ambitious wife work fulfill prophecy would become lord spider web castle,positive,2
The Bridge on the River Kwai,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors, not knowing that the allied forces are planning to destroy it.",british pow forced build railway bridge across river kwai japanese captor knowing allied force planning destroy,negative,0
On the Waterfront,An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,exprize fighter turned longshoreman struggle stand corrupt union boss,negative,0
Le salaire de la peur,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",decrepit south american village four men hired transport urgent nitroglycerine shipment without equipment would make safe,positive,2
Ace in the Hole,"A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus.",frustrated former bigcity journalist stuck working albuquerque newspaper exploit story man trapped cave rekindle career situation quickly escalates outofcontrol circus,negative,0
White Heat,A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.,psychopathic criminal mother complex make daring break prison lead old gang chemical plant payroll heist,negative,2
The Third Man,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",pulp novelist holly martin travel shadowy postwar vienna find investigating mysterious death old friend harry lime,positive,2
The Red Shoes,A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.,young ballet dancer torn man love pursuit become prima ballerina,positive,2
The Shop Around the Corner,"Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal.",two employee gift shop barely stand without realizing falling love post others anonymous pen pal,positive,2
Rebecca,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,selfconscious woman juggle adjusting new role aristocrat wife avoiding intimidated first wife spectral presence,positive,2
Mr. Smith Goes to Washington,"A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.",naive man appointed fill vacancy united state senate plan promptly collide political corruption doesnt back,negative,0
Gone with the Wind,A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,manipulative woman roguish man conduct turbulent romance american civil war reconstruction period,neutral,2
La Grande Illusion,"During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress.",wwi two french soldier captured imprisoned german pow camp several escape attempt follow eventually sent seemingly inescapable fortress,neutral,1
It Happened One Night,"A renegade reporter and a crazy young heiress meet on a bus heading for New York, and end up stuck with each other when the bus leaves them behind at one of the stops.",renegade reporter crazy young heiress meet bus heading new york end stuck bus leaf behind one stop,negative,0
La passion de Jeanne d'Arc,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",jeanne darc placed trial charge heresy ecclesiastical jurist attempt force jeanne recant claim holy vision,neutral,1
The Circus,The Tramp finds work and the girl of his dreams at a circus.,tramp find work girl dream circus,neutral,2
Sunrise: A Song of Two Humans,An allegorical tale about a man fighting the good and evil within him. Both sides are made flesh - one a sophisticated woman he is attracted to and the other his wife.,allegorical tale man fighting good evil within side made flesh one sophisticated woman attracted wife,positive,0
The General,"When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.",union spy steal engineer beloved locomotive pursues singlehandedly straight enemy line,positive,2
Das Cabinet des Dr. Caligari,"Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders.",hypnotist dr caligari us somnambulist cesare commit murder,neutral,2
Badhaai ho,A man is embarrassed when he finds out his mother is pregnant.,man embarrassed find mother pregnant,positive,2
Togo,"The story of Togo, the sled dog who led the 1925 serum run yet was considered by most to be too small and weak to lead such an intense race.",story togo sled dog led serum run yet considered small weak lead intense race,negative,0
Airlift,"When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.",iraq invades kuwait august callous indian businessman becomes spokesperson stranded countryman,neutral,1
Bajrangi Bhaijaan,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,indian man magnanimous heart take young mute pakistani girl back homeland reunite family,positive,2
Baby,"An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India.",elite counterintelligence unit learns plot masterminded maniacal madman clock ticking track terrorist international tentacle prevent striking heart india,positive,0
La La Land,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",navigating career los angeles pianist actress fall love attempting reconcile aspiration future,positive,2
Lion,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.",fiveyearold indian boy adopted australian couple getting lost hundred kilometer home year later set find lost family,neutral,1
The Martian,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.",astronaut becomes stranded mar team assume dead must rely ingenuity find way signal earth alive,negative,0
Zootopia,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",city anthropomorphic animal rookie bunny cop cynical con artist fox must work together uncover conspiracy,negative,2
Bãhubali: The Beginning,"In ancient India, an adventurous and daring man becomes involved in a decades-old feud between two warring peoples.",ancient india adventurous daring man becomes involved decadesold feud two warring people,positive,2
Kaguyahime no monogatari,"Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime.",found inside shining stalk bamboo old bamboo cutter wife tiny girl grows rapidly exquisite young lady mysterious young princess enthralls encounter ultimately must confront fate punishment crime,positive,2
Wonder,"Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time.",based new york time bestseller movie tell incredibly inspiring heartwarming story august pullman boy facial difference enters fifth grade attending mainstream elementary school first time,positive,2
Gully Boy,A coming-of-age story based on the lives of street rappers in Mumbai.,comingofage story based life street rapper mumbai,neutral,1
Special Chabbis,A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.,gang conmen rob prominent rich businessmen politician posing cbi income tax officer,positive,2
Short Term 12,A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.,something supervising staff member residential treatment facility navigates troubled water world alongside coworker longtime boyfriend,negative,0
Serbuan maut 2: Berandal,"Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force.",short time first raid rama go undercover thug jakarta plan bring syndicate uncover corruption within police force,positive,2
The Imitation Game,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians.",world war ii english mathematical genius alan turing try crack german enigma code help fellow mathematician,neutral,1
Guardians of the Galaxy,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,group intergalactic criminal must pull together stop fanatical warrior plan purge universe,negative,0
Blade Runner 2049,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",young blade runner k discovery longburied secret lead track former blade runner rick deckard who missing thirty year,negative,0
Her,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",near future lonely writer develops unlikely relationship operating system designed meet every need,negative,0
Bohemian Rhapsody,"The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).",story legendary british rock band queen lead singer freddie mercury leading famous performance live aid,positive,2
The Revenant,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,frontiersman fur trading expedition fight survival mauled bear left dead member hunting team,negative,0
The Perks of Being a Wallflower,An introvert freshman is taken under the wings of two seniors who welcome him to the real world,introvert freshman taken wing two senior welcome real world,positive,2
Tropa de Elite 2: O Inimigo Agora é Outro,"After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups.",prison riot formercaptain nascimento high ranking security officer rio de janeiro swept bloody political dispute involves government official paramilitary group,negative,0
The King's Speech,"The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.",story king george vi impromptu ascension throne british empire speech therapist helped unsure monarch overcome stammer,neutral,1
The Help,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",aspiring author civil right movement decides write book detailing african american maid point view white family work hardship go daily basis,positive,2
Deadpool,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",wisecracking mercenary get experimented becomes immortal ugly set track man ruined look,negative,1
Darbareye Elly,The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers.,mysterious disappearance kindergarten teacher picnic north iran followed series misadventure fellow traveler,neutral,2
Dev.D,"After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they find redemption?",breaking childhood sweetheart young man find solace drug meanwhile teenage girl caught world prostitution destroyed find redemption,positive,2
Yip Man,"During the Japanese invasion of China, a wealthy martial artist is forced to leave his home when his city is occupied. With little means of providing for themselves, Ip Man and the remaining members of the city must find a way to survive.",japanese invasion china wealthy martial artist forced leave home city occupied little mean providing ip man remaining member city must find way survive,negative,0
My Name Is Khan,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,indian muslim man aspergers syndrome take challenge speak president united state seriously embarks crosscountry journey,negative,0
Nefes: Vatan Sagolsun,Story of 40-man Turkish task force who must defend a relay station.,story man turkish task force must defend relay station,neutral,1
Slumdog Millionaire,"A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".",mumbai teenager reflects life accused cheating indian version want millionaire,neutral,1
Black Swan,"A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake"".",committed dancer struggle maintain sanity winning lead role production tchaikovsky swan lake,positive,0
Tropa de Elite,"In 1997 Rio de Janeiro, Captain Nascimento has to find a substitute for his position while trying to take down drug dealers and criminals before the Pope visits.",rio de janeiro captain nascimento find substitute position trying take drug dealer criminal pope visit,negative,0
The Avengers,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,earth mightiest hero must come together learn fight team going stop mischievous loki alien army enslaving humanity,negative,0
Persepolis,A precocious and outspoken Iranian girl grows up during the Islamic Revolution.,precocious outspoken iranian girl grows islamic revolution,neutral,1
Dallas Buyers Club,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.",dallas electrician hustler ron woodroof work around system help aid patient get medication need diagnosed disease,neutral,1
The Pursuit of Happyness,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,struggling salesman take custody son he poised begin lifechanging professional career,positive,2
Blood Diamond,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.",fisherman smuggler syndicate businessmen match wit possession priceless diamond,positive,0
